判定,ファイル,出力ファイル
×,Aoi/IMG_8890.jpg,
○,Aoi/IMG_8891.jpg,Aoi/IMG_8891.jpg
×,Aoi/IMG_8892.jpg,
×,Aoi/IMG_8893.jpg,
×,Aoi/IMG_8894.jpg,
×,Aoi/IMG_8895.jpg,
○,Aoi/IMG_8896.jpg,Aoi/IMG_8896.jpg
○,Aoi/IMG_8897.jpg,Aoi/IMG_8897.jpg
○,Aoi/IMG_8898.jpg,Aoi/IMG_8898.jpg
×,Kobayashi/IMG_5360.JPG,
×,Kobayashi/IMG_5361.JPG,
×,Kobayashi/IMG_5362.JPG,
×,Kobayashi/IMG_5363.JPG,
○,Kobayashi/IMG_5364.JPG,Kobayashi/IMG_5364.JPG
×,Kobayashi/IMG_5365.JPG,
○,Kobayashi/IMG_5366.JPG,Kobayashi/IMG_5366.JPG
○,Kobayashi/IMG_5367.JPG,Kobayashi/IMG_5367.JPG
○,Kobayashi/IMG_5368.JPG,Kobayashi/IMG_5368.JPG
○,Kobayashi/IMG_5369.JPG,Kobayashi/IMG_5369.JPG
×,Kobayashi/IMG_5370.JPG,
○,Kobayashi/IMG_5372.JPG,Kobayashi/IMG_5372.JPG
○,Kobayashi/IMG_5373.JPG,Kobayashi/IMG_5373.JPG
×,Kobayashi/IMG_5374.JPG,
×,Kobayashi/IMG_5375.JPG,
×,Nakamura/IMG_3864.jpg,
×,Nakamura/IMG_3865.jpg,
×,Nakamura/IMG_3866.jpg,
×,Nakamura/IMG_3867.jpg,
×,Nakamura/IMG_3868.jpg,
×,Nakamura/IMG_3869.jpg,
○,Nakamura/IMG_3870.jpg,Nakamura/IMG_3870.jpg
×,Nakamura/IMG_3871.jpg,
○,Nakamura/IMG_3872.jpg,Nakamura/IMG_3872.jpg
×,Nakamura/IMG_3874.jpg,
×,Nakamura/IMG_3875.jpg,
×,Nakamura/IMG_3876.jpg,
×,Nakamura/IMG_3877.jpg,
×,Nakamura/IMG_3878.jpg,
×,Nakamura/IMG_3879.jpg,
×,Nakamura/IMG_3880.jpg,
×,Nakamura/IMG_3881.jpg,
×,Nakamura/IMG_3882.jpg,
×,Nakamura/IMG_3883.jpg,
×,Nakamura/IMG_3884.jpg,
×,Nakamura/IMG_3885.jpg,
×,Nakamura/IMG_3886.jpg,
×,Nakamura/IMG_3887.jpg,
